MCC,RUC,UIC,UNIT NAME,STREET ADDRESS,"CITY, STATE",ZIPCODE,DPI
K9R,35102,null,MC COMM ELEC SCOL (STUD PERS),MCAGCC PO BOX 788251,TWENTYNINE PALMS CA,92278,03
K9T,56011,null,SCHOOL OF MUSIC (STUD PERS),NAVAL AMPHIBIOUS BASE LITTLE CREEK,VIRGINIA BEACH VA,23459,02
K9U,56011,null,LANDING FORCE TRNG CMD (STUD PERS),NAVAL AMPHIBIOUS BASE LITTLE CREEK,VIRGINIA BEACH VA,23459,02
K9V,56001,null,LANDING FORCE TRNG CMD PAC(STUD PERS),NAVAL AMPHIBIOUS BASE CORONADO,SAN DIEGO CA,92155,03
K9X,06041,null,CTR NAVAL AVN TECH TRNG (CNATT) (STUD PERS),NAS WHIDBEY ISLAND,OAK HARBOR WA,98278,03
K9Y,06015,null,VFA-125 F/A-18 (FRS) (STUD PERS),NAS 700 AVENGER AVE,LEMOORE NAS CA,93246,03
KA0,33350,M93250,SCHOOL OF INFANTRY (PERM PERS),MCB BOX 555061,CAMP PENDLETON CA,92055,03
KA1,33808,MS3800,ASLT AMPHIB SCOL BN (INSTR PERS),MCB BOX 555041,CAMP PENDLETON CA,92055,03
KA2,45030,null,MARINE COMBAT INSTRUCTORS (PERM PERS),MCB PSC BOX 20161,CAMP LEJEUNE NC,28542,02
KA3,45528,null,MARINE COMBAT INSTUCTORES,MCB BOX 555061,CAMP PENDLETON CA,92055,03
KA4,45030,null,TRAIN THE TRAINER SCHOOL (T3S) (PERM PERS),MCB PSC BOX 20041,CAMP LEJEUNE NC,28542,02
KA5,32000,null,PERSONNEL ADMIN SCOL (PERM PERS),MCRD,PARRIS ISLAND SC,29905,02
KA6,54008,null,FOREIGN AREA OFFICER PGM,H&SBN HQMC 1555 SOUTHGATE RD,ARLINGTON VA,22214,09
KA7,01175,null,HMM(T)-164 STUD CONTROL MAG-39 3DMAW,MCAS BOX 555911,CAMP PENDLETON CA,92055,03
KA8,45614,null,VMFAT-101 MCCRTG-10 (STUD PERS),MCAS MIRAMAR PO BOX 452025,SAN DIEGO CA,92145,03
KA9,33808,MS3180,TRAIN THE TRAINER SCHOOL (T3S) DET WEST,MCB BOX 555041,CAMP PENDLETON CA,92055,03
KAA,45030,null,SCHOOL OF INFANTRY (PERM PERS),MCB PSC BOX 20161,CAMP LEJEUNE NC,28542,02
KAB,45030,null,COMBAT TRNG BN-EAST (PERM PERS),MCB PSC BOX 20161,CAMP LEJEUNE NC,28542,02
KAC,45030,null,COMBAT TRNG BN-EAST (INSTR PERS),MCB PSC BOX 20161,CAMP LEJEUNE NC,28542,02
KAD,31352,M31030,INFANTRY TRNG BN-EAST (PERMPERS),MCB PSC BOX 20161,CAMP LEJEUNE NC,28542,02
KAE,31352,M31030,INFANTRY TRNG BN-EAST (INSTRPERS),MCB PSC BOX 20161,CAMP LEJEUNE NC,28542,02
KAF,31353,M31040,ADV INFANTRY TRNG BN-EAST (PERMPERS),MCB PSC BOX 20161,CAMP LEJEUNE NC,28542,02
KAG,31353,M31040,ADV INFANTRY TRNG BN-EAST (INSTRPERS),MCB PSC BOX 20161,CAMP LEJEUNE NC,28542,02
KAH,45030,null,HQTRS AND SPT BN-EAST (PERM PERS),MCB PSC BOX 20161,CAMP LEJEUNE NC,28542,02
KAJ,45030,null,HQTRS AND SPT BN-EAST (INSTR PERS),MCB PSC BOX 20161,CAMP LEJEUNE NC,28542,02
KAK,45528,null,MARINE COMBAT TRNG BN-WEST (PERMPERS),MCB BOX 555061,CAMP PENDLETON CA,92055,03
KAL,33351,null,MARINE COMBAT TRNG-BN WEST (INSTRPERS),MCB BOX 555061,CAMP PENDLETON CA,92055,03
KAM,33352,M33030,INFANTRY TRNG BN-WEST (PERM PERS),MCB BOX 555061,CAMP PENDLETON CA,92055,03
KAN,33352,null,INFANTRY TRNG BN-WEST (INSTR PERS),MCB BOX 555061,CAMP PENDLETON CA,92055,03
KAP,45528,null,ADV INFANTRY TRNG BN-WEST (PERMPERS),MCB BOX 555061,CAMP PENDLETON CA,92055,03
KAQ,33354,M33050,ADV INFANTRY TRNG BN-WEST (INSTRPERS),MCB BOX 555061,CAMP PENDLETON CA,92055,03
KAR,33355,M33040,HQTRS AND SPT BN-WEST (PERMPERS),MCB BOX 555061,CAMP PENDLETON CA,92055,03
KAS,33355,M33040,HQTRS AND SPT BN-WEST (INSTRPERS),MCB BOX 555061,CAMP PENDLETON CA,92055,03
KAT,20904,null,MARSOC (STUDENTS),MCB PSC BOX 20185,CAMP LEJEUNE NC,28542,02
KAU,45030,null,MAGTF LOGISTICS OPER GROUP,MCB PSC BOX 20041,CAMP LEJEUNE NC,28542,02
KAV,45528,null,MOBILIZATION TRNGBN WEST (PERMPERS),MCB BOX 555061,CAMP PENDLETON CA,92055,03
KAW,33357,M33060,MOBILIZATION TRNG BN-WEST (INSTRPERS),MCB BOX 555061,CAMP PENDLETON CA,92055,03
KAX,45650,null,DET HI AIT BN SOI WEST (PERM PERS),MCBH SOI WEST BOX 63088,KANEOHE BAY HI,96863,03
