MCC,RUC,UIC,UNIT NAME,STREET ADDRESS,"CITY, STATE",ZIPCODE,DPI
000,12141,M12141,H&S CO 3DBN 9THMAR 2DMARIDV,PO BOX 20073,CAMP LEJEUNE NC,28545,02
003,26724,null,MOTOR TRANSPORT CO H&S BN,null,QUANTICO VA,22134,09
005,26729,null,SERV CO H&S BN,null,QUANTICO VA,22134,09
006,26721,null,HQ CO H&S BN,null,QUANTICO VA,22134,09
007,30000,null,HQ MCCDC,3300 RUSSELL ROAD,QUANTICO VA,22134,09
008,54008,null,HQMC NON DEPARTMENTAL,3000 MARINE CORPS PENTAGON,WASHINGTON DC,20350,09
009,54008,null,MAR CORPS PERS & SUP ACTIVITY,HQSVCBN HQMC 1555 SOUTHGATE RD,ARLINGTON VA,22214,09
010,54835,null,PERSONNEL MANAGEMENT DIV,ENL ASGN BR CODE (MMEA-55) HQMC,WASHINGTON DC,20380,09
011,54004,null,HEADQUARTERS BATTALION HQMC,1555 SOUTHGATE RD,ARLINGTON VA,22214,09
012,59001,null,FAMILY HOUSING OFFICE,MCCDC 3049 JULIAN DR,QUANTICO VA,22134,09
013,31301,null,H&S CO USMC SERV SUPPORT SCHOOLS,MCB PSC BOX 20041,CAMP LEJEUNE NC,28542,02
014,33808,MS3324,ASLT AMPHIB SCOL BN,MCB BOX 555041,CAMP PENDLETON CA,92055,03
015,45683,null,HEADQUARTERS BATTALION,MCAGCC BOX 788200,TWENTYNINE PALMS CA,92278,03
016,32090,M32002,RECRUIT TRAINING REGIMENT,MCRD PO BOX 15001,PARRIS ISLAND SC,29905,02
017,34000,M10200,MC RECRUIT DEPOT,MCRD 1600 HENDERSON AVE SUITE 238,SAN DIEGO CA,92140,03
018,45124,null,LEGAL SVC SPT TM (LSST) CHPT NC MCIEAST,MCAS PSC BOX 8004,CHERRY POINT NC,28533,02
019,59034,null,FAMILY HOUSING OFFICE,MCLB,BARSTOW CA,92311,03
020,30020,null,MARCOR TRAINING AND EVALUATION UNIT,3500 RUSSELL RD,QUANTICO VA,22134,09
021,32001,M02225,LEGAL SVC SPT TM (LSST) PARRIS ISLAND MCIEAST,MCRD PO BOX 19610,PARRIS ISLAND SC,29905,02
022,59256,null,PERSONNEL PROCESSING CENTER,MCAS PSC BOX 8015,CHERRY POINT NC,28533,02
023,59035,null,FAMILY HOUSING MURPHY CANYON,3493 SANTO ROAD,SAN DIEGO CA,92124,03
024,02021,M02206,HQ&HQ SQDN,MCAS NEW RIVER PSC BOX 21002,JACKSONVILLE NC,28545,02
025,45683,null,LEGAL SVC SPT TM (LSST) 29PALMS CA MCIWEST,MCAGCC BOX 788200,TWENTYNINE PALMS CA,92278,03
026,59021,null,FAMILY HOUSING OFFICE,MCAS,BEAUFORT SC,29904,02
027,02231,M02212,HQ&HQ SQDN,MCAS PO BOX 99160,YUMA AZ,85369,03
028,33610,M38600,MARINE CORPS MOUNTAIN WARFARE TRNG CENTER,HC 83,BRIDGEPORT CA,93517,03
029,56011,MS5980,EWTGLANT,1575 GATOR BLVD,VIRGINIA BEACH VA,23459,02
030,56001,MS7271,EWTGPAC,3424 GUADALCANAL ROAD,SAN DIEGO CA,92155,03
031,02201,M02227,LEGAL SVC SPT TM (LSST) MIRAMAR MCIWEST,MCAS PO BOX 452022,SAN DIEGO CA,92145,03
032,46252,null,HQ SQDN,MCAF 2100 ROWELL ROAD,QUANTICO VA,22134,09
033,02301,M02228,LEGAL SVC SPT TM (LSST) KANEOHE BAY MCIPAC,MCBH BOX 63062,KANEOHE BAY HI,96863,03
034,46252,null,LEGAL SVC SPT (LSS) NCR QUANTICO VA MCICOM,2006 HAWKINS AVENUE,QUANTICO VA,22134,09
035,46252,null,MV-22 TRANSITION TEAM,2006 HAWKINS AVENUE,QUANTICO VA,22134,09
036,02403,MS4307,HMX-1 HQTRS,2134 ROWELL ROAD,QUANTICO VA,22134,09
037,46252,null,VXX OPERATIONAL TEST TEAM (VOTT),MCAF 22474 JAMES ROAD HANGER 109,PATUXENT RIVER MD,20670,09
038,33710,M10207,WPNS TRNG BN,BOX 555181,CAMP PENDLETON CA,92055,03
039,45205,null,MARINE CORPS LOGISTICS COMMAND CONAD,814 RADFORD BOULEVARD,ALBANY GA,31704,02
040,32100,null,DRILL INSTRUCTOR,MCRD PO BOX 16100,PARRIS ISLAND SC,29905,02
041,45211,null,DRILL INSTRUCTOR 3D RTR,MCRD 3802 HOCHMUTH AVENUE,SAN DIEGO CA,92140,03
042,02403,MS4307,EXECUTIVE FLT DET,2134 ROWELL ROAD,QUANTICO VA,22134,09
043,02403,MS4307,MC FLT DET,2134 ROWELL ROAD,QUANTICO VA,22134,09
044,46122,null,HQHQRON MCAS,PSC 561 BOX 1861,FPO AP,96310,27
045,02601,M02204,HQ&HQ SQDN MCAS,FMFPAC MCAS FUTENMA UNIT 35202,FPO AP,96372,27
046,26738,null,OPERATIONS CO H&S BN,null,QUANTICO VA,22134,09
047,85217,null,DEFENSE FINANCE & ACCOUNTING SERVICE,15424 ANDREWS RD R-G MEMORIAL AIRPORT,KANSAS CITY MO,64147,16
048,02016,MS4306,FLEET READINESS CENTER (EAST),MCAS PSC BOX 8021,CHERRY POINT NC,28533,02
050,26741,null,SUPPORT CO H&S BATTALION,43 BROADWAY STREET,NEWPORT RI,02840,09
052,45500,null,MARINE CORPS TACTICAL SYS SPT ACTIVITY,MCTSSA BOX 555171,CAMP PENDLETON CA,92055,03
053,54008,null,NATIONAL MIL CMD CTR SECURITY DET,3000 MARINE CORPS PENTAGON,WASHINGTON DC,20350,09
055,30005,null,MARCOR TRAINING SUPPORT UNIT,3279 RUSSELL RD,QUANTICO VA,22134,09
057,02208,M02208,HQ&HQ SQDN,MCAS BOX 555151,CAMP PENDLETON CA,92055,03
058,26742,null,TENANT ACTIVITIES CO,null,QUANTICO VA,22134,09
059,54005,null,NAVY DEPARTMENT GUARD UNIT,GUARD CO HQBN HQMC 1555 SOUTHGATE RD,ARLINGTON VA,22214,09
060,45210,null,BILLET MOS 8531,MCRD PO BOX 19001,PARRIS ISLAND SC,29905,02
061,59253,null,DPC-RSU EAST,MCB PSC BOX 20086,CAMP LEJEUNE NC,28542,02
062,26753,null,CAMP UPSHUR CO SERV BN,null,QUANTICO VA,22134,09
063,45205,null,MARINE CORPS LOGISTICS COMMAND,814 RADFORD BOULEVARD,ALBANY GA,31704,02
065,38441,M38001,MAINTENANCE MNGT SYSTEMS BRANCH,MC LOGISTICS BASE,ALBANY GA,31704,02
066,45205,null,HQBN MCLB ALBANY,814 RADFORD BOULEVARD,ALBANY GA,31704,02
067,45683,null,MARCOR LOG OPS GRP,MCAGCC BOX 788305,TWENTYNINE PALMS CA,92278,03
068,30002,MS3302,EDUCATION COMMAND,MCCDC 1019 ELLIOTT RD,QUANTICO VA,22134,09
069,30381,M30380,H&S CO OCS,MCCDC 2189 ELROD AVE,QUANTICO VA,22134,09
070,46252,null,MARCORSYSCOM,2200 LESTER STREET,QUANTICO VA,22134,09
071,54008,null,MCRDACSU WASHINGTON DC,H&SBN HQMC 1555 SOUTHGATE RD,ARLINGTON VA,22214,09
072,26765,null,SECURITY BN,null,QUANTICO VA,22134,09
073,38441,null,MARCORSYSCOM ALBANY GA,814 RADFORD BOULEVARD,ALBANY GA,31704,02
074,46252,null,MARTIAL ARTS CENTER OF EXCELLENCE,24115 OKINAWA ROAD,QUANTICO VA,22134,09
075,38020,null,MARCOR TRAINING AND SERVICE SUPPORT,3355 RUSSELL RD,QUANTICO VA,22134,09
076,46252,null,COMMUNICATIONS SCHOOL (PERM PERS),1019 ELLIOTT ROAD,QUANTICO VA,22134,09
077,30003,MS5122,MARINE CORPS INTELLIGENCE ACTIVITY,2033 BARNETT AVE,QUANTICO VA,22134,09
078,46252,null,SUPPORT BATTALION TBS,24115 OKINAWA ROAD,QUANTICO VA,22134,09
079,26730,null,HEADQUARTERS BATTALION,35 CEDAR STREET,EATON NY,13334,09
080,46252,null,MANPOWER AND RESERVE AFFAIRS DEPT,3280 RUSSELL ROAD,QUANTICO VA,22134,09
081,26773,null,SUPPORT BATTALION,null,QUANTICO VA,22134,09
082,30002,MS5601,MARINE CORPS RECRUITING COMMAND,MCB 3280 RUSSELL ROAD,QUANTICO VA,22134,09
084,30002,MS3015,MAGTF STAFF TRAINING PROGRAM CENTER,MCB 2006 HAWKINS AVENUE,QUANTICO VA,22134,09
086,30002,M30407,TRAINING AND EDUCATION COMMAND,1019 ELLIOTT ROAD BLDG 2008,QUANTICO VA,22134,09
087,30002,MS3201,TRAINING COMMAND,3300 RUSSELL ROAD,QUANTICO VA,22134,09
090,02303,M02211,MARINE CORPS AIR STATION,MCBH BOX 63061,KANEOHE BAY HI,96863,03
091,02300,null,MARINE CORPS BASE,MCBH BOX 63002,KANEOHE BAY HI,96863,03
092,20229,null,MCB CAMP BUTLER,PSC 564 BOX 80,FPO AP,96387,27
093,20229,M20229,COMBINED ARMS TRNG CTR CAMP FUJI,PSC 564 BOX 80,FPO AP,96387,27
094,45040,null,MARSOC HQTRS,PSC BOX 20101,CAMP LEJEUNE NC,28545,02
095,30903,M30903,WEAPONS TRAINING BATTALION,27211 GARAND ROAD,QUANTICO VA,22134,09
096,31012,M31002,WEAPONS TRAINING BN,MCB PSC BOX 20059,CAMP LEJEUNE NC,28542,02
097,45020,null,HQ&SPT BN MCI EAST,MCB PSC BOX 20087,CAMP LEJEUNE NC,28542,02
098,33060,M02214,HQ&SPT BN MCI WEST,MCB BOX 555010,CAMP PENDLETON CA,92055,03
099,26799,null,HQ CO SPT BN,null,QUANTICO VA,22134,09
110,45650,null,HEADQUARTERS AND SERVICE BATTALION,COMMARFORPAC BOX 64138,CAMP SMITH HI,96861,03
111,60003,null,SU 2 HQ CO H&S BN,FMFLANT,NORFOLK VA,23511,02
114,20373,M20734,1ST INTELLIGENCE BATTALION,BOX 555321,CAMP PENDLETON CA,92055,03
115,20362,M20362,2D INTELLIGENCE BATTALION,PSC BOX 20139,CAMP LEJEUNE NC,28542,02
116,46124,null,3D INTEL BN,FMFPAC UNIT 35607,FPO AP,96606,27
118,32001,null,NISRA 5TH COUNTERINTELLIGENCE TEAM,MCRD,PARRIS ISLAND SC,29905,02
119,20229,M20229,III MEF LNO JAPANESE GROUND SELF-DEF FORCE,CONTACT MI FOR ADDRESS UPDATE,SENDAI JAPAN,00000,27
121,45510,null,HQBN 1STMARDIV,BOX 555381,CAMP PENDLETON CA,92055,03
122,45020,null,SCMAGTF APS-11 (10/2009),PSC BOX 20088,CAMP LEJEUNE NC,28542,02
124,43101,null,SU 1 HQ CO 3RD MAR,3RD MAR DIV (-) (REIN) FMFPAC,FPO AP,96602,27
127,02301,M67420,GUAM BASE SUPPORT (ADVANCE),MARINE FORCES PACIFIC BLDG 1 2ND FLOOR,SANTA RITA GUAM,96915,03
128,45650,null,MARINE WING SUPPORT DETACHMENT,MCBH BOX 63048,KANEOHE BAY HI,96863,03
129,59901,M20810,MCI CAMP MUJUK KOREA,UNIT 15017,APO AP,96218,27
130,20080,null,III MEF FORCES,COMMARFORPAC,KANEOHE BAY HI,96863,03
142,45124,null,IPAC CHERRY PT,PSC BOX 8076,CHERRY POINT NC,28533,02
143,01079,M01079,MWHS-3 3D MAW,MCAS MIRAMAR PO BOX 452050,SAN DIEGO CA,92145,03
145,13001,null,1ST MAW OKINAWA,3D MARDIV (-)(REIN) FMFPAC,FPO AP,96602,27
146,46122,null,MWSS-171 MAG-12,UNIT 37201,FPO AP,96603,27
148,46122,null,CALIB LAB,1ST MAW UNIT 37161 (IWAKUNI),FPO AP,96603,27
151,27112,null,CLR-27,UNIT 73950,FPO AE,09509,02
152,45020,M20197,CLB 22 (22D MEU) 2D MLG,PSC BOX 20133,CAMP LEJEUNE NC,28542,02
15A,45020,null,2ND MLG HQTRS,PSC BOX 20002,CAMP LEJEUNE NC,28542,02
15B,27104,M27104,FOOD SVC CO CLR-27 2D MLG,PSC BOX 20126,CAMP LEJEUNE NC,28542,02
15C,27150,M27331,CBTLOGREGT 2 2D MLG,MCB PSC BOX 20132,CAMP LEJEUNE NC,28542,02
15D,27012,M27337,MT CO CBTLOGBN 2 CBTLOGREGT 2 2D MLG,2ND MLG PSC BOX 20132,CAMP LEJEUNE NC,28542,02
15E,27013,M27338,MT CO CBTLOGBN 6 CBTLOGREGT 2 2D MLG,2ND MLG PSC BOX 20132,CAMP LEJEUNE NC,28542,02
15F,27360,null,CBTLOGBN 8 CBTLOGREGT 2 2D MLG,PSC BOX 20130,CAMP LEJEUNE NC,28542,02
15G,27146,null,GS MAINT CO CLR 25 2D MLG,PSC BOX 20125,CAMP LEJEUNE NC,28542,02
15H,45020,null,2D MAINT BN CBTLOGREGT 25 2D MLG,2ND MLG PSC BOX 20127,CAMP LEJEUNE NC,28542,02
15J,27110,M28310,2D SUPPLY BN CBTLOGREGT 25 2D MLG,2ND MLG PSC BOX 20128,CAMP LEJEUNE NC,28542,02
15K,28274,M28274,SURG CO C 2D MEDBN CBTLOGREGT 25 2D MLG,FMFLANT PSC BOX 20129,CAMP LEJEUNE NC,28542,02
15L,27114,M27114,BULK FUEL CO 8TH ENGRSPTBN,2ND MLG PSC BOX 20131,CAMP LEJEUNE NC,28542,02
15M,27160,M27160,2D DENTAL BN 2D MLG,PSC BOX 20130,CAMP LEJEUNE NC,28542,02
160,45144,null,MWSS-272 MAG-26,PSC BOX 21032,JACKSONVILLE NC,28545,02
165,45184,null,MWSS-273 MAG-31 2DMAW,MCAS PO BOX 66038,BEAUFORT SC,29904,02
167,45500,null,CLB 11 (11TH MEU) 1ST MLG,BOX 555697,CAMP PENDLETON CA,92055,03
168,45683,null,CLC 13 CLR 15 1ST MLG,BOX 788280,TWENTYNINE PALMS CA,92278,03
169,45500,null,CSSG-15(-) 1ST MLG,UIC 42491,FPO AP,96426,03
170,45650,null,CLC 35 CLR 35 3D MLG,MCBH BOX 63030,KANEOHE BAY HI,96863,03
174,45500,null,1ST RADIO BATTALION,MCB BOX 555355,CAMP PENDLETON CA,92055,03
175,21590,M21591,2D RADIO BN II MHG,PSC BOX 20136,CAMP LEJEUNE NC,28542,02
176,21540,null,DET 1ST RADIO BATTALION,MCBH BOX 63042,KANEOHE BAY HI,96863,03
181,46124,null,1ST SPECIAL SECURITY COMM TEAM,UNIT 35840,FPO AP,96602,27
182,11001,M11016,2ND SPECIAL SECURITY COMM TEAM FMF,1ST MARINE DIVISION (REIN) FMF,CAMP PENDLETON CA,92055,03
183,46124,null,3D SPECIAL SECURITY COMM TEAM,1ST MAW UNIT 27121,FPO AP,96603,27
184,45614,null,4TH SECURITY COMM TEAM,MCAS MIRAMAR PO BOX 452080,SAN DIEGO CA,92145,03
185,45020,null,5TH SPECIAL SECURITY COMM TEAM,PSC BOX 20088,CAMP LEJEUNE NC,28542,02
186,01053,M00208,6TH SPECIAL SECURITY COMM TEAM,2ND MAW FMFLANT MCAS,CHERRY POINT NC,28533,02
193,11407,M11407,ENGR SPT CO 1ST CBTENGRBN 1STMARDIV,MCB BOX 555554,CAMP PENDLETON CA,92055,03
198,12404,M12404,COMBAT ENGR CO B 2D CBTENGRBN 2DMARDIV,PSC BOX 20089,CAMP LEJEUNE NC,28542,02
199,21425,M21425,TANK CO D 2D TANK BN 2DMARDIV,PSC BOX 20091,CAMP LEJEUNE NC,28542,02
19C,21809,M21804,COMBAT ENGR CO 3D COMBAT ASSAULT BATTALION,3DMARDIV FMFPAC UNIT 36261,FPO AP,96602,27
19D,21415,M21415,TANK CO D 1ST TANK BN 1STMARDIV,MCAGCC BOX 788270,TWENTYNINE PALMS CA,92278,03
19E,21825,M21825,CO D 3RD ASLTAMPHIBBN,MCAGCC BOX 788274,TWENTYNINE PALMS CA,92278,03
19F,21824,M21824,CO C 3D ASLTAMPHIBBN 1STMARDIV,BOX 555575,CAMP PENDLETON CA,92055,03
19G,21810,M21810,2D ASLT AMPHIB BN 2DMARDIV,PSC BOX 20070,CAMP LEJEUNE NC,28542,02
19M,80296,null,RILSD(S117A) DCMC SIKORSKY (CH53E),6900 MAIN STREET,STRATFORD CT,06615,16
1A5,01243,M00328,MAWTS-1,MCAS BOX 99200,YUMA AZ,85369,03
1AF,46150,null,IMAGERY INTERPRETATION TEAM,MARFOREUR PANZAR KASERNE GE BLDG 2901,APO AE,09046,02
1C0,20149,null,1ST MEB CE,I MEF BOX 555300,CAMP PENDLETON CA,92055,03
1C1,20128,null,HEADQUARTERS III MEF,FMFPAC UNIT 35601,FPO AP,96606,27
1C2,29049,null,3D MLG,PSC 561 BOX 1861,FPO AP,96310,27
1CC,46124,null,CMD ELEMENT 3D MEB III MEF,UNIT 35601,FPO AP,96606,27
1CE,46124,null,3D MLG HQTRS,UNIT 38404,FPO AP,96604,27
1CF,29001,M29001,CBTLOGREGT 37,3D MLG FMFPAC UNIT 38404,FPO AP,96604,27
1CG,45500,null,MWSS-372 MAG-39 3D MAW,MCAF BOX 555861,CAMP PENDLETON CA,92055,03
1CH,29040,M29040,CBTLOGREGT 3,3D MLG UNIT 38416,FPO AP,96604,27
1CJ,29047,M29044,TRANS SVCS CO CLB 4 CLR 3,3D MLG UNIT 38420,FPO AP,96604,27
1CK,45650,000000,CLB-3 CLR-3 3D MLG,MCBH BOX 63030,KANEOHE BAY HI,96863,03
1CL,29015,M29016,CBTLOGREGT 35 3D MLG,UNIT 38404,FPO AP,96604,27
1CM,29021,M29021,3D MAINT BN CBTLOGREGT 35,3D MLG UNIT 38422,FPO AP,96604,27
1CN,29010,M29365,CLB 351 CLR 35,FMFPAC UNIT 38410,FPO AP,96604,27
1CP,28260,M13020,3D MED BN CBTLOGREGT 35,3D MLG UNIT 38445,FPO AP,96604,27
1CQ,29100,M29100,9TH ENGR SPT BN(-),3D MLG UNIT 38430,FPO AP,96604,27
1CR,29092,M29092,3D DENTAL CO 3D DENTAL BN,3D MLG UNIT 38452,FPO AP,96604,27
1CY,45230,null,SPAWAR,1837 MORRIS STREET SUITE 3311,NORFOLK VA,23551,02
1CZ,34001,null,NAVY MASSO DET PAC,NAS BOX 217,SAN DIEGO CA,92136,03
1D1,27108,M27108,2ND FORCE ASC,II MEF FMFLANT,CAMP LEJEUNE NC,28542,02
1DH,45040,null,MARSOC PAC,PSC BOX 20116,CAMP LEJEUNE NC,28542,02
1DK,12001,null,TWAES,2DMARDIV FMF,CAMP LEJEUNE NC,28542,02
1DN,00853,M00875,DET B ATC MACS-2 MACG-28,2NDMAW MCAS NEW RIVER PSC BOX 21001,JACKSONVILLE NC,28545,02
1DY,45124,null,COMBAT SERVICE SUPPORT DETACHMENT 21(CSSD-21),PSC BOX 8025,CHERRY POINT NC,28533,02
1DZ,45683,null,IPAC CSSG-1,MCAGCC BOX 788280,TWENTYNINE PALMS CA,92278,03
1E0,27140,M27140,CBTLOGCO 23 CBTLOGREGT 25 2D MLG,MCAS PO BOX 55730,BEAUFORT SC,29904,02
1E1,28355,M28341,CBTLOG CO 11 CBTLOGREGT 15 1ST MLG,MCAS MIRAMAR PO BOX 452023,SAN DIEGO CA,92145,03
1E4,06040,null,FMF AUGMENT F-18,NAS CEDAR POINT RD BLDG 102,PATUXENT RIVER MD,20670,02
1EA,00374,M05374,MWSS-374 MAG-16 3D MAW,BOX 788285,TWENTYNINE PALMS CA,92278,03
1EC,00830,M00830,MASS-3 MACG-38,3DMAW BOX 555831,CAMP PENDLETON CA,92055,03
1EE,20600,M20600,COMMARFOREUR,UNIT 30401,APO AE,09107,02
1EG,00930,M00930,3D LAAD BN MACG-38 3D MAW,MCB BOX 555841,CAMP PENDLETON CA,92055,03
1EH,45644,null,MWSS-371 MAG-13 3DMAW,MCAS BOX 99210,YUMA AZ,85369,03
1EM,20600,M20400,MARINE FORCES AFRICA COMMAND,UNIT 30401,FPO AE,09107,02
1EN,29048,M29048,CBTLOGCO 31 (31 MEU) CBTLOGREGT 37,3D MLG UNIT 38463,FPO AP,96604,27
1EP,46124,null,31ST MEU,UNIT 35621,FPO AP,96606,27
1ER,20180,M18045,CE 24TH MEU,PSC BOX 20083,CAMP LEJEUNE NC,28542,02
1ES,20173,M20173,CE 13TH MEU,MCB BOX 555363,CAMP PENDLETON CA,92055,03
1ET,45500,null,CE 11TH MEU,MCB BOX 555361,CAMP PENDLETON CA,92055,03
1EZ,46122,null,CSSD-36 3RD MLG,UNIT 38490,FPO AP,96604,27
1F1,45020,null,II MEF FORWARD,PSC BOX 20085,CAMP LEJEUNE NC,28542,02
1F2,20361,M20360,II MEF HEADQUARTERS GROUP,II MET UNIT PSC BOX 20085,CAMP LEJEUNE NC,28542,02
1F3,28357,M28357,CBTLOG CO 16 CBTLOGREGT 15 1ST MLG,MCAS BOX 99150,YUMA AZ,85369,03
1F4,45020,null,2ND ANGLICO II MEF,PSC BOX 20080,CAMP LEJEUNE NC,28542,02
1F5,20372,M20371,I MEF HEADQUARTERS GROUP,BOX 555321,CAMP PENDLETON CA,92055,03
1F6,20129,null,III MHG,UNIT 35607,FPO AP,96606,27
1F7,11200,M11200,7TH MARINES,1STMARDIV BOX 788260,TWENTYNINE PALMS CA,92278,03
1FA,13423,M13423,COMBAT ENGR CO A 3D CEB 3D MARDIV,MAGTFTC,TWENTYNINE PALMS CA,92278,03
1FB,27102,M27102,CONSOLIDATED FISCAL ACCT OFF,H&S BN 2ND MLG,CAMP LEJEUNE NC,28542,02
1FC,01038,null,A7 AUGMENT IWAKUNI,1ST MAW FMFPAC UNIT 37161,FPO AP,96603,27
1FD,54878,null,MISSO-11,BOX 555321,CAMP PENDLETON CA,92055,03
1FE,45020,null,SPL PURPOSE MAGTAF CRISIS RESPONSE (0413),PSC BOX 20082,CAMP LEJEUNE NC,28574,02
1FF,21431,null,HQSVC CO 3D TANK BN,3D MARDIV MAGTFTC,TWENTYNINE PALMS CA,92278,03
1FG,45500,null,1ST FORCE RECON,MCB BOX 555341,CAMP PENDLETON CA,92055,03
1FH,29109,M29109,BRIDGE CO 9TH ESB 3D MLG,MAGTFTC,TWENTYNINE PALMS CA,92278,03
1FJ,20016,M20050,MARFORNORTHCOM,2000 OPELOUSAS AVENUE,NEW ORLEANS LA,70146,16
1FK,20162,M82231,SITE SUPPORT 4TH TANK BN,MCB PSC BOX 20110,CAMP LEJEUNE NC,28542,16
1FL,20162,null,SUB-UNIT SITE SUPPORT 4TH TANK BN,MCB PSC BOX 20110,CAMP LEJEUNE NC,28542,16
1FM,20192,null,PWST CAMPEN,MCB PO BOX 555123,CAMP PENDLETON CA,92055,17
1FN,45230,null,MARINE CORPS SECURITY COOPERATION GROUP,938 ATLANTIC AVENUE,FORT STORY VA,23459,02
1FP,83251,M83251,CH-53K MAINT DET,null,WEST PALM BEACH FL,33415,16
1FR,20310,M20310,15TH MEU,BOX 555365,CAMP PENDLETON CA,92055,03
1FS,20181,M18038,26TH MEU,PSC BOX 20084,CAMP LEJEUNE NC,28545,02
1FT,20179,M18032,CE 22D MEU,PSC BOX 20082,CAMP LEJEUNE NC,28542,02
1FU,20230,M02216,MARCOR INSTALLATION PACIFIC,MCIPAC UNIT 35001,FPO AP,96373,27
1FV,54008,M02215,MARCOR INSTALLATION CMD HQMC,3000 PENTAGON,WASHINGTON DC,20300,09
1FX,20021,M20025,MARINE FORCES PACIFIC BAND,PSC BOX 63087,KANEOHE BAY HI,96863,03
1FY,20002,M20002,US MARCOR FORCES SOUTH (HQ MARFORSOUTH),9301 NW 33RD STREET,DORAL FL,33172,02
1FZ,20015,M20015,HQ MARFORRES,4400 DAUPHINE STREET,NEW ORLEANS LA,70146,16
1G0,45020,null,CMD ELEMENT 2D MEB II MEF,MCB PSC BOX 20087,CAMP LEJEUNE NC,28542,02
1G2,06015,null,HORNET OPERATIONAL DEVELOP TEAM,NAS,LEMOORE NAS CA,93246,03
1G3,00048,null,NBCD SINGLE SITE STORAGE FACILITY,NAS JRB BLDG 1060 RM 111,FORT WORTH TX,76127,17
1G7,21635,M21635,7TH COMM BN III MHG,UNIT 35608,FPO AP,96606,27
1G8,21640,M21640,8TH COMM BN II MHG,PSC BOX 20137,CAMP LEJEUNE NC,28542,02
1G9,21670,M21672,9TH COMMBN,MCB BOX 555351,CAMP PENDLETON CA,92055,03
1GA,38450,M67500,BLOUNT ISLAND COMMAND,5880 CHANNEL VIEW BLVD,JACKSONVILLE FL,32226,02
1GB,87263,null,OV-10 TRAINING ELEMENT,DAVIS MONTHAN AIR FORCE BASE,TUCSON AZ,85707,16
1GC,38450,M67551,MARINE CORPS SUPPORT FACILITY,5880 CHANNEL VIEW BOULEVARD,JACKSONVILLE FL,32226,02
1GD,20383,M21631,5TH ANGLICO,III MEF UNIT 35607,FPO AP,96606,27
1GE,21610,M21610,1ST ANGLICO,MCB BOX 555331,CAMP PENDLETON CA,92055,03
1GF,46252,null,MARINE CORPS WARFIGHTING LAB,3255 MEYERS AVENUE,QUANTICO VA,22134,09
1GH,20016,MS4501,RESERVE BASE SUPPORT,2000 OPELOUSAS AVENUE,NEW ORLEANS LA,70146,16
1GM,45500,null,JOINT RESERVE INTEL CENTER DET,MCB BOX 555300,CAMP PENDLETON CA,92055,03
1GR,11708,M11708,E CO 1ST LARBN,1STMARDIV BOX 555564,CAMP PENDLETON CA,92055,03
1GS,45020,null,2D LIGHT ARMORED RECON BN 2NDMARDIV,PSC BOX 20090,CAMP LEJEUNE NC,28542,02
1GT,45683,null,3D LIGHT ARMORED RECON BN,MCAGCC BOX 788272,TWENTYNINE PALMS CA,92278,03
1H1,06040,null,MV-22A R/M TEAM,NAS CEDAR POINT RD BLDG 102,PATUXENT RIVER MD,20670,02
1H2,81235,null,MV-22A R/M TEAM BOEING HELCPT WILM DE,3920 KIRKWOOD HWY,WILMINGTON DE,19808,16
1H3,84141,null,MC-22A R/M TEAM BELL HELCPT FT WORTH,312 MARINE FORCES DRIVE,GRAND PRAIRIE TX,75051,16
1H4,03017,M03018,MCLNCO NAVAL AIR LOGISTICS OFFICE,NAS JRB 263 FOWLER AVE BOX 30,BELLE CHASSE LA,70143,16
1H5,85218,null,USMC REP ALLISON GAS TURBINE CO,3010 WHITE RIVER PARKWAY,INDIANAPOLIS IN,46208,16
1H6,80295,null,MC REP NAVAIR ENGR CTR,NAS,LAKEHURST NJ,08733,16
1H7,83303,null,MCLNO US ARMY AVIATION COM FT RUCKER,1105 KERSHAW STREET,MONTGOMERY AL,36362,16
1H8,20600,null,USMC LIAISON DAO ISRAEL,CONTACT MI FOR ADDRESS UPDATE,FPO AE,09523,02
1H9,03007,null,AH-1W PROJECT OFFICE,NAS FT WORTH JRB BLDG 1068 RM 111,FORT WORTH TX,76127,16
1HA,03007,MS4204,MAG-41(-) 4TH MAW,NAS FT WORTH JRB BLDG 1068 RM 111,FORT WORTH TX,76127,16
1HB,01196,null,VMFA-112 MAG-12 (UDP) (0313),1ST MAW FMFPAC UNIT 37150,FPO AP,96603,27
1HE,87227,null,VRC-30 NAV AIR STA NORTH ISLAND CA,3225 WILLOW PASS ROAD AMCRTC,CONCORD CA,94519,16
1HK,45144,null,HMLA-167 MAG-29 2DMAW,PSC BOX 21014,JACKSONVILLE NC,28545,02
1HL,01461,M01461,HMH-461 MAG-29,2DMAW PSC BOX 21013,JACKSONVILLE NC,28545,02
1HM,01269,M01269,HMLA-269 MAG-29 2DMAW,PSC BOX 21029,JACKSONVILLE NC,28545,02
1HN,45144,null,HMH-464 MAG-29,PSC BOX 21023,JACKSONVILLE NC,28545,02
1HP,01562,M01562,VMM-562 MAG-16 3D MAW,MCAS MIRAMAR PO BOX 452025,SAN DIEGO CA,92145,03
1HR,01561,M05561,VMM-561 MAG-16 3D MAW,MCAS MIRAMAR PO BOX 452025,SAN DIEGO CA,92145,03
